Average electricity cost assumption: 0.1 USD/kWh,,,,,,
Date and Time,"power MIN, GW","power GUESS, GW","power MAX, GW","annualised consumption MIN, TWh","annualised consumption GUESS, TWh","annualised consumption MAX, TWh"
2015-08-27T00:00:00,0.0017,0.003,0.0171,0.0147,0.0264,0.15
2015-08-28T00:00:00,0.0017,0.0031,0.0151,0.0152,0.0269,0.1323
2015-08-29T00:00:00,0.0018,0.0031,0.0126,0.0155,0.0269,0.1107
2015-08-30T00:00:00,0.0018,0.003,0.0101,0.0157,0.0267,0.0886
2015-08-31T00:00:00,0.0018,0.003,0.0075,0.0159,0.0266,0.0657
2015-09-01T00:00:00,0.0019,0.0031,0.0076,0.0162,0.0271,0.0669
2015-09-02T00:00:00,0.0019,0.0031,0.0077,0.0164,0.0273,0.0675
2015-09-03T00:00:00,0.0019,0.0031,0.0077,0.0164,0.0273,0.0676
2015-09-04T00:00:00,0.0019,0.0031,0.0077,0.0164,0.0273,0.0675
2015-09-05T00:00:00,0.0019,0.0031,0.0078,0.0165,0.0275,0.0681
2015-09-06T00:00:00,0.0019,0.0032,0.0079,0.0168,0.028,0.0692
2015-09-07T00:00:00,0.0019,0.0032,0.0079,0.0168,0.0281,0.0695
2015-09-08T00:00:00,0.0019,0.0032,0.0079,0.0168,0.0281,0.0694
2015-09-09T00:00:00,0.0019,0.0032,0.008,0.017,0.0283,0.07
2015-09-10T00:00:00,0.002,0.0033,0.0081,0.0172,0.0287,0.071
2015-09-11T00:00:00,0.002,0.0034,0.0083,0.0176,0.0294,0.0727
2015-09-12T00:00:00,0.002,0.0034,0.0084,0.0179,0.0299,0.0739
2015-09-13T00:00:00,0.0021,0.0035,0.0086,0.0182,0.0303,0.0751
2015-09-14T00:00:00,0.0021,0.0035,0.0086,0.0183,0.0305,0.0756
2015-09-15T00:00:00,0.0021,0.0035,0.0087,0.0184,0.0307,0.076
2015-09-16T00:00:00,0.0021,0.0035,0.0086,0.0184,0.0306,0.0758
2015-09-17T00:00:00,0.0021,0.0035,0.0086,0.0182,0.0303,0.075
2015-09-18T00:00:00,0.002,0.0034,0.0083,0.0177,0.0295,0.0729
2015-09-19T00:00:00,0.002,0.0033,0.0081,0.0172,0.0286,0.0709
2015-09-20T00:00:00,0.0019,0.0032,0.008,0.017,0.0284,0.0702
2015-09-21T00:00:00,0.002,0.0033,0.008,0.0171,0.0285,0.0706
2015-09-22T00:00:00,0.002,0.0033,0.0081,0.0173,0.0288,0.0714
2015-09-23T00:00:00,0.002,0.0034,0.0083,0.0177,0.0295,0.073
2015-09-24T00:00:00,0.0021,0.0035,0.0086,0.0182,0.0303,0.0751
2015-09-25T00:00:00,0.0022,0.0036,0.0089,0.0189,0.0314,0.0778
2015-09-26T00:00:00,0.0022,0.0037,0.0092,0.0195,0.0324,0.0802
2015-09-27T00:00:00,0.0022,0.0037,0.0092,0.0196,0.0327,0.0808
2015-09-28T00:00:00,0.0022,0.0037,0.0092,0.0195,0.0325,0.0804
2015-09-29T00:00:00,0.0022,0.0036,0.009,0.0191,0.0318,0.0786
2015-09-30T00:00:00,0.0021,0.0035,0.0086,0.0184,0.0306,0.0757
2015-10-01T00:00:00,0.002,0.0034,0.0084,0.0179,0.0298,0.0738
2015-10-02T00:00:00,0.002,0.0033,0.0082,0.0175,0.0291,0.0721
2015-10-03T00:00:00,0.002,0.0033,0.0081,0.0172,0.0286,0.0709
2015-10-04T00:00:00,0.0019,0.0032,0.0079,0.0168,0.0281,0.0695
2015-10-05T00:00:00,0.0019,0.0032,0.0079,0.0168,0.028,0.0693
2015-10-06T00:00:00,0.0019,0.0032,0.008,0.017,0.0283,0.07
2015-10-07T00:00:00,0.002,0.0033,0.0081,0.0172,0.0287,0.071
2015-10-08T00:00:00,0.002,0.0033,0.0082,0.0173,0.0289,0.0715
2015-10-09T00:00:00,0.002,0.0033,0.0081,0.0173,0.0288,0.0712
2015-10-10T00:00:00,0.0019,0.0032,0.008,0.0171,0.0285,0.0704
2015-10-11T00:00:00,0.002,0.0033,0.0081,0.0171,0.0286,0.0707
2015-10-12T00:00:00,0.002,0.0033,0.0081,0.0172,0.0286,0.0708
2015-10-13T00:00:00,0.002,0.0033,0.0082,0.0173,0.0289,0.0715
2015-10-14T00:00:00,0.002,0.0033,0.0082,0.0175,0.0292,0.0722
2015-10-15T00:00:00,0.002,0.0033,0.0082,0.0175,0.0291,0.0721
2015-10-16T00:00:00,0.002,0.0033,0.0078,0.0174,0.0285,0.0687
2015-10-17T00:00:00,0.002,0.0032,0.0075,0.0174,0.0282,0.066
2015-10-18T00:00:00,0.002,0.0032,0.0071,0.0173,0.0276,0.0625
2015-10-19T00:00:00,0.002,0.0031,0.0067,0.0171,0.0269,0.0588
2015-10-20T00:00:00,0.0019,0.003,0.0062,0.0168,0.0261,0.0548
2015-10-21T00:00:00,0.0019,0.0029,0.0058,0.0166,0.0254,0.0509
2015-10-22T00:00:00,0.0019,0.0028,0.0054,0.0164,0.0246,0.0472
2015-10-23T00:00:00,0.0019,0.0028,0.0055,0.0166,0.0249,0.0478
2015-10-24T00:00:00,0.0019,0.0029,0.0055,0.0168,0.0252,0.0483
2015-10-25T00:00:00,0.002,0.0029,0.0056,0.0171,0.0256,0.0492
2015-10-26T00:00:00,0.002,0.003,0.0057,0.0173,0.026,0.0498
2015-10-27T00:00:00,0.002,0.003,0.0058,0.0177,0.0266,0.051
2015-10-28T00:00:00,0.0021,0.0031,0.0059,0.0181,0.0271,0.0521
2015-10-29T00:00:00,0.0021,0.0032,0.0062,0.0188,0.0282,0.0541
2015-10-30T00:00:00,0.0022,0.0034,0.0068,0.0194,0.0297,0.0598
2015-10-31T00:00:00,0.0023,0.0035,0.0075,0.02,0.0311,0.0655
2015-11-01T00:00:00,0.0023,0.0037,0.0081,0.0206,0.0324,0.0711
2015-11-02T00:00:00,0.0024,0.0039,0.0087,0.0211,0.034,0.0765
2015-11-03T00:00:00,0.0024,0.004,0.0092,0.0213,0.0351,0.0809
2015-11-04T00:00:00,0.0025,0.0042,0.0098,0.0218,0.0367,0.0862
2015-11-05T00:00:00,0.0025,0.0043,0.0103,0.022,0.0377,0.0907
2015-11-06T00:00:00,0.0025,0.0043,0.0103,0.022,0.038,0.0907
2015-11-07T00:00:00,0.0025,0.0043,0.0102,0.0218,0.0379,0.0898
2015-11-08T00:00:00,0.0025,0.0043,0.0102,0.0217,0.038,0.0893
2015-11-09T00:00:00,0.0025,0.0043,0.0102,0.0217,0.0381,0.0894
2015-11-10T00:00:00,0.0025,0.0044,0.0103,0.0218,0.0383,0.0901
2015-11-11T00:00:00,0.0025,0.0044,0.0102,0.0217,0.0382,0.0897
2015-11-12T00:00:00,0.0025,0.0044,0.0103,0.0218,0.0383,0.0899
2015-11-13T00:00:00,0.0025,0.0044,0.0103,0.0219,0.0384,0.0903
2015-11-14T00:00:00,0.0025,0.0044,0.0104,0.0222,0.0389,0.0915
2015-11-15T00:00:00,0.0026,0.0045,0.0106,0.0225,0.0395,0.0929
2015-11-16T00:00:00,0.0026,0.0046,0.0107,0.0227,0.0399,0.0938
