Date and Time,"power MIN, kW","power GUESS, kW","power MAX, kW","annualised consumption MIN, GWh","annualised consumption GUESS, GWh","annualised consumption MAX, GWh"
2021-12-12T00:00:00,66.0005,202.4875,484.8596,0.5786,1.775,4.2503
2021-12-13T00:00:00,65.4855,200.9034,481.0347,0.574,1.7611,4.2168
2021-12-14T00:00:00,65.8819,202.1162,483.9265,0.5775,1.7718,4.2421
2021-12-15T00:00:00,66.6386,204.4301,489.4689,0.5842,1.792,4.2907
2021-12-16T00:00:00,67.3218,206.521,494.4748,0.5901,1.8104,4.3346
2021-12-17T00:00:00,67.4957,207.0556,495.7405,0.5917,1.815,4.3457
2021-12-18T00:00:00,67.5382,207.186,496.0417,0.592,1.8162,4.3483
2021-12-19T00:00:00,67.7997,207.9846,497.9309,0.5943,1.8232,4.3649
2021-12-20T00:00:00,68.3135,209.5589,501.6868,0.5988,1.837,4.3978
2021-12-21T00:00:00,68.684,210.6941,504.3931,0.6021,1.8469,4.4215
2021-12-22T00:00:00,68.93,211.4532,506.1943,0.6042,1.8536,4.4373
2021-12-23T00:00:00,68.9316,211.4677,506.2063,0.6043,1.8537,4.4374
2021-12-24T00:00:00,69.2251,212.3671,508.3495,0.6068,1.8616,4.4562
2021-12-25T00:00:00,69.6353,213.6245,511.3506,0.6104,1.8726,4.4825
2021-12-26T00:00:00,70.118,215.1071,514.8932,0.6147,1.8856,4.5136
2021-12-27T00:00:00,71.2139,218.468,522.9364,0.6243,1.9151,4.5841
2021-12-28T00:00:00,71.5444,219.4857,525.3553,0.6272,1.924,4.6053
2021-12-29T00:00:00,71.5194,219.41,525.1541,0.6269,1.9233,4.6035
2021-12-30T00:00:00,71.737,220.0773,526.7413,0.6288,1.9292,4.6174
2021-12-31T00:00:00,71.6824,219.9147,526.3385,0.6284,1.9278,4.6139
2022-01-01T00:00:00,71.43,219.1488,524.4877,0.6262,1.9211,4.5977
2022-01-02T00:00:00,71.1882,218.417,522.7178,0.624,1.9146,4.5821
2022-01-03T00:00:00,70.46,216.1898,517.3674,0.6177,1.8951,4.5352
2022-01-04T00:00:00,70.2793,215.644,516.0532,0.6161,1.8903,4.5237
2022-01-05T00:00:00,70.2401,215.5356,515.7867,0.6157,1.8894,4.5214
2022-01-06T00:00:00,70.2576,215.6038,515.9399,0.6159,1.89,4.5227
2022-01-07T00:00:00,70.383,216.0053,516.8951,0.617,1.8935,4.5311
2022-01-08T00:00:00,70.3094,215.7903,516.3706,0.6163,1.8916,4.5265
2022-01-09T00:00:00,70.3117,215.7997,516.3889,0.6164,1.8917,4.5267
2022-01-10T00:00:00,70.2175,215.5134,515.6987,0.6155,1.8892,4.5206
2022-01-11T00:00:00,70.0877,215.118,514.7462,0.6144,1.8857,4.5123
2022-01-12T00:00:00,69.9892,214.8153,514.0172,0.6135,1.8831,4.5059
2022-01-13T00:00:00,69.8656,214.425,513.084,0.6124,1.8796,4.4977
2022-01-14T00:00:00,69.9546,214.6829,513.7034,0.6132,1.8819,4.5031
2022-01-15T00:00:00,70.348,215.8841,516.5854,0.6167,1.8924,4.5284
2022-01-16T00:00:00,70.56,216.5324,518.1392,0.6185,1.8981,4.542
2022-01-17T00:00:00,70.8052,217.2849,519.9399,0.6207,1.9047,4.5578
2022-01-18T00:00:00,71.0135,217.922,521.4636,0.6225,1.9103,4.5712
2022-01-19T00:00:00,71.0732,218.1082,521.9053,0.623,1.9119,4.575
2022-01-20T00:00:00,71.3224,218.876,523.739,0.6252,1.9187,4.5911
2022-01-21T00:00:00,70.7531,217.1309,519.5593,0.6202,1.9034,4.5545
2022-01-22T00:00:00,70.5408,216.4797,517.9909,0.6184,1.8977,4.5407
2022-01-23T00:00:00,70.5626,216.5418,518.134,0.6186,1.8982,4.542
2022-01-24T00:00:00,70.53,216.4304,517.8631,0.6183,1.8972,4.5396
2022-01-25T00:00:00,70.9963,217.8475,521.2579,0.6224,1.9097,4.5693
2022-01-26T00:00:00,71.5024,219.3815,524.9283,0.6268,1.9231,4.6015
2022-01-27T00:00:00,73.1575,224.4372,537.0464,0.6413,1.9674,4.7077
2022-01-28T00:00:00,75.5322,231.7058,554.4578,0.6621,2.0311,4.8604
